CodigoEstacion,NombreEstacion,Variable,Parametro,Unidad,Fecha,Valor,NivelAprobacion
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-08,4312.2,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-09,3743.4,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-10,3792.3,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-11,3891.6,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-12,2854.3,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-13,5386.0,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-14,4578.4,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-15,4390.2,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-16,3798.6,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-17,1776.8,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-18,2333.2,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-19,4397.7,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-20,4253.2,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-21,3243.6,Calculado
21206990,TIBAITATA - AUT [21206990],RAD SOLAR,Radiación solar global horaria VALIDADA,Wh/m^2,2005-04-22,4894.9,Calculado
